All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,Source
MSCs: 300 mM Ethylene glycol + 1 mM Taurine + 1% Ectoine (SEGA 10°C).,10%,"Optimal at 1°C/min.
",96%,"In 96-well(SEGA 10°C):40%, DMSO 1°C: 21%   In vial freezing SEGA 10°C = 103 ± 15 %",Not explicitly mentioned,"Differential Evolution (DE) Algorithm-Method Extensibility,High-throughput screening: 96-well plate ,and DMSO-free","Higher viability( in Vial freezing and good recovery)  It can be optimized by adding rate of addition and removal of cryopro-tectants, temperature of nucleation, incubation time,hold temperature and more.", https://doi.org/10.1002/term.2175,,,,,,,,,,
1) 0.25 M trehalose in DMEM/Ham F-12,0%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",12.50%,"least effective in preserving functional properties (morphology, differentiation, stemness)",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates. It takes around 14 days for them to double.,"- ASCs isolated from adipose tissue was cultured to passage 2, cryopreserved for 3 months in liquid nitrogen.
- Six CPA combinations tested using slow freezing.
- Post-thaw, cells sub-cultured to passage 3 for assays (viability via trypan blue, phenotyping, proliferation, differentiation, stemness via Real-Time PCR).
- Differentiation assessed by staining and gene expression (adipogenic, osteogenic, chondrogenic markers).","- Cryopreserved ASCs maintained fibroblast-like morphology, surface markers, and differentiation potential (adipogenic, osteogenic, chondrogenic) similar to fresh ASCs.
- 5% DMSO without FBS showed high viability, low cytotoxicity, and maintained functional properties, suggesting it as an ideal xeno-free CPA.
- Stemness markers (NANOG, OCT-4, SOX-2, REX-1) showed significantly higher expression in cryopreserved ASCs (p<0.05).
- Trehalose alone was least effective due to inability to prevent intracellular ice formation.",10.1038/srep09596,,,,,,,,,,
2) 5% DMSO in DMEM/Ham F-12,5%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",71%,"maintained functional properties (morphology, differentiation, stemness) comparable to 10% DMSO + 90% FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,
3) 10% DMSO in DMEM/Ham F-12,10%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",82%,"not specified individually, assumed similar to other DMSO-based solutions unless combined with FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,
4) 5% DMSO + 20% FBS in DMEM/Ham F-12,5%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",82%,"not specified individually, assumed similar to other DMSO-based solutions unless combined with FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,
5) 10% DMSO + 20% FBS in DMEM/Ham F-12,10%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",84%,"not specified individually, assumed similar to other DMSO-based solutions unless combined with FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,
6) 10% DMSO + 90% FBS in DMEM/Ham F-12,10%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",82%,"maintained functional properties (morphology, differentiation, stemness) comparable to 5% DMSO alone",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,
"Dulbecco's modified eagle medium, supplemented with 10% fetal calf serum, 5% DMSO",5%,"3°C/min, 5/min, 10/min 
",66.25%,,,The cells were allowed to reach room temp so that the cryopreservant could diffuse into the cells. They were cooled down to -80C and stored in liquid nitrogen.,Standard cyropreservation procedures do not seem to be efficient for BMMeSCs. Viability assays by flow cytometry was more sensitive. Significant cell death is due to cell shrinkage and decreased nucleus to cytoplasm ratio. ,10.1016/j.transproceed.2008.03.04,,,,,,,,,,
"10 µM S1P+0.05 M glucose, 0.05 M sucrose,and 1.5 M ethylene glycol(cocktail solution)((S1P→C ))",0,−1 ◦C/min from 25◦C to−80 ◦C,91.4 ±2.7%,"didn't mentioned, but can get approximate prediction from percentage of early apoptotic cells(3.6 ±0.4%) and late apoptotic cells( 2.3 ±0.2%)",S1P→C (34.2 ±1.2%) compared with control (31.7 ±0.8%),"High-standard preparation, with usage of fluorescently-labeled antibodies to ensure the pluripotent property of DP-MSCs.  Different assements method were utilized to determine the desire result, such as WST-1 assay in cell morphology, Annexin V-FITC and PI in apoptosis,  trypan blue for viablity test",S1P Pre-Treatment Reduced Actin Cytoskeletal Disruption and Improved Adhesion Ability,https://doi.org/10.3390/life13061286 ,,,,,,,,,,
10% DMSO and 10% FBS,10%,−1 ◦C/min from 25◦C to−80 ◦C,(85.7 ±2.8%),"didn't mentioned, but can get approximate prediction from percentage of early apoptotic cells(4.4 ±1.0%) and late apoptotic cells( 3.6 ±0.4%)",(37.63 ±1.1%),,,https://doi.org/10.3390/life13061286 ,,,,,,,,,,
