all ingredients in cryoprotective solution,dmso usage,cooling rate,viability,recovery,doubling time,comments about method,comments about results,source (doi link),protective protein type,protective protein concentration,non-reducing sugar type,non-reducing sugar concentration,peg weight,peg concentration,alternative cpa type,alternative cpa concentration,basal medium,source
2) CS2: 2% Me2SO + Dextran-40 in saline (CryoStor),2%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)", 89.8% ± 0.9 ,78.9% ± 3.6 (p < 0.05 vs. PIM1/PIM2),"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.5 h","Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.","All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
3) CS10: 10% Me2SO + Dextran-40 in saline (CryoStor),10%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)",  95.8% ± 0.6,82%,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 81.3 h (p < 0.01 vs. CS2 and PIM1)","Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).","Proliferation and migration were comparable across media, though CS10 reached confluency faster.",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
"10 %DMSO, glucose and high polymer anhydrous dextrose (STEM-CELLBANKERTM )(CB) + xeno-free serum culture medium",10%,−1 ◦C/min to−80 ◦C,85.6 ± 5.7 %,"Ad-MSCs(87.8 ± 15.4 %), BM-MSCs(56.7 ± 16.1 %)","Ad-MSCs(38.1 ± 13.6h), BM-MSCs (47.7 ± 11.4h)","Propidium Iodide (PI) testing  accompany with the assesment which allow only alive cells counted for culculating the result. b-Galactosidase staining,  flow cytometryfor and relative monoclonal FITC or PE conjugated
antibodies were utilized to evaluate the degree of cellular senescence and property of cells (markers) respectively.","The result show that CB enhanced the preservation of MSC viability, growth and mesodermal differentiation potential when compared to DMSO in MesencultÒ -XF. Furthermore, the CB cryopreservation medium was better for Ad-MSCs compared to BM-MSCs.",https://doi.org/10.1007/s10561-014-9463-8,,,,,,,,,,
0.5M ethylene glycol (EG) in Mesencult complete medium,0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",65%,Not mentioned ,Not mentioned ,DPSC cell lines from four separate  cultures were used.  Viability was determined by trypan blue exclusion after thawing.,The freezing effect of 1.0M and 1.5M Me₂SO was significantly better than that of EG or PG at the same concentration. There was no significant difference between the two concentrations.,https://doi.org/10.1016/j.cryobiol.2009.06.005,DPSC,,,,,,,,,
1M ethylene glycol (EG) in Mesencult complete medium,0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",75%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
1.5M ethylene glycol (EG) in Mesencult complete medium,0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",77%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
"o.5M propylene glycol in in Mesencult complete medium
(1,2 propane diol; PG)",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",43%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
"1M propylene glycol in in Mesencult complete medium
",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",68%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
"1.5M propylene glycol in in Mesencult complete medium
",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",67%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
0.5M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",74%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
